Date, A, B
02-12-2020 17:57, 0, 1
11-12-2020 17:37, 1, 0
11-12-2020 17:39, 1, 0
11-12-2020 17:46, 0, 1
11-12-2020 17:54, 0, 1
11-12-2020 18:01, 1, 0
12-12-2020 12:55, 0, 1
12-12-2020 13:01, 0, 1
12-12-2020 13:08, 0, 1
12-12-2020 13:14, 1, 0
12-12-2020 13:17, 1, 0
12-12-2020 13:24, 1, 0
12-12-2020 13:29, 1, 0
12-12-2020 13:38, 0, 1
12-12-2020 13:44, 0, 1
12-12-2020 13:51, 1, 0
12-12-2020 13:57, 0, 1
12-12-2020 14:04, 0, 1
12-12-2020 14:14, 0, 1
12-12-2020 14:19, 0, 1
12-12-2020 14:25, 1, 0
12-12-2020 14:28, 1, 0
12-12-2020 14:33, 0, 1
12-12-2020 14:40, 0.5, 0.5
12-12-2020 14:48, 1, 0
12-12-2020 14:55, 0, 1
12-12-2020 14:59, 1, 0
12-12-2020 15:04, 1, 0
12-12-2020 15:11, 1, 0
12-12-2020 15:27, 0, 1
12-12-2020 15:28, 0, 1
12-12-2020 15:34, 1, 0
12-12-2020 15:41, 1, 0
12-12-2020 15:45, 1, 0
12-12-2020 15:53, 0, 1
12-12-2020 15:59, 1, 0
12-12-2020 16:07, 0, 1
12-12-2020 16:12, 0, 1
12-12-2020 16:19, 0, 1
12-12-2020 16:25, 0, 1
12-12-2020 16:29, 0, 1
